* Measurement data saved by REW V5.10
* Source: Input device not selected, no input selected, Left channel, volume: no control
* Format:  256k Log Swept Sine, 1 sweep at -3.0 dB FS
* Dated: Jan 12, 2016 6:25:29 PM
* Sense Resistor: 100.0
* Lead resistance: 0.000
* Calibration factor: 1.0060
* Note: 
* Measurement: TW Z
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 500.7 Hz
*
* Freq(Hz)	Z(Ohms)	Phase(degrees)
12716.624	5.846	19.773
12901.592	5.868	20.000
13089.250	5.890	20.226
13279.637	5.913	20.449
13472.794	5.936	20.670
13668.760	5.959	20.890
13867.577	5.982	21.110
14069.285	6.005	21.332
14273.928	6.029	21.554
14481.547	6.053	21.776
14692.186	6.078	21.998
14905.889	6.104	22.219
15122.700	6.129	22.438
15342.664	6.156	22.656
15565.829	6.182	22.872
15792.239	6.209	23.085
16021.942	6.237	23.294
16254.986	6.265	23.501
16491.422	6.293	23.702
16731.295	6.321	23.898
16974.656	6.349	24.099
17221.559	6.377	24.301
17472.053	6.405	24.503
17726.189	6.434	24.705
17984.021	6.463	24.906
18245.605	6.492	25.104
18510.994	6.521	25.298
18780.242	6.549	25.483
19053.408	6.575	25.657
19330.547	6.599	25.812
19611.715	6.619	25.935
19896.975	6.630	26.005
