* Measurement data saved by REW V5.10
* Source: Input device not selected, no input selected, Left channel, volume: no control
* Format:  256k Log Swept Sine, 1 sweep at -3.0 dB FS
* Dated: Jan 13, 2016 7:03:06 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: TW SPL
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 500.7 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
14069.285	79.644	5.362
14273.928	79.682	3.345
14481.547	79.565	1.717
14692.186	79.370	1.118
14905.889	79.262	1.557
15122.700	79.310	1.983
15342.664	79.444	1.579
15565.829	79.530	0.114
15792.239	79.454	-1.758
16021.942	79.219	-3.225
16254.986	78.927	-3.505
16491.422	78.795	-3.023
16731.295	78.804	-3.586
16974.656	78.725	-5.327
17221.559	78.481	-7.489
17472.053	78.103	-9.574
17726.189	77.611	-11.463
17984.021	77.060	-12.930
18245.605	76.527	-14.267
18510.994	76.073	-16.035
18780.242	75.601	-19.342
19053.408	74.961	-23.719
19330.547	74.144	-27.901
19611.715	73.363	-30.516
19896.975	72.948	-31.627
