* Measurement data saved by REW V5.10
* Source: Input device not selected, no input selected, Left channel, volume: no control
* Format:  256k Log Swept Sine, 1 sweep at -3.0 dB FS
* Dated: Jan 13, 2016 7:02:41 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: WF SPL
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 81.2 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
2091.412	70.137	179.665
2121.832	69.903	-179.235
2152.695	69.720	-175.790
2184.007	70.147	-171.976
2215.774	70.754	-172.113
2248.003	71.032	-174.029
2280.701	71.022	-175.100
2313.874	71.030	-175.146
2347.530	71.263	-174.383
2381.676	71.648	-176.464
2416.318	71.704	-179.749
2451.464	71.523	177.422
2487.122	71.197	175.743
2523.298	70.871	174.642
2560.000	70.468	173.919
2597.236	70.003	174.440
2635.014	69.673	176.433
2673.341	69.514	178.851
2712.226	69.531	-178.712
2751.676	69.704	-177.138
2791.700	69.854	-176.619
2832.306	69.906	-176.072
2873.503	70.010	-174.650
2915.299	70.312	-173.422
2957.703	70.667	-174.506
3000.724	70.732	-175.853
3044.370	70.782	-176.021
3088.652	71.045	-176.407
3133.577	71.243	-178.474
3179.156	71.170	178.989
3225.398	70.955	178.311
3272.312	71.061	177.981
3319.909	71.121	175.814
3368.198	70.793	174.279
3417.190	70.601	175.075
3466.894	70.687	174.976
3517.321	70.638	173.773
3568.482	70.580	173.563
3620.387	70.701	172.156
3673.046	70.544	169.225
3726.472	70.155	168.032
3780.675	69.976	167.961
3835.666	69.751	166.313
3891.457	69.310	166.071
3948.060	69.082	167.088
4005.486	68.849	167.326
4063.747	68.587	168.207
4122.855	68.494	169.166
4182.824	68.317	168.927
4243.664	68.062	169.951
4305.390	67.978	170.812
4368.013	67.692	171.693
4431.547	67.560	174.195
4496.005	67.528	175.591
4561.401	67.367	177.765
4627.749	67.439	-179.789
4695.061	67.577	-178.178
4763.352	67.768	-176.268
4832.637	67.999	-175.415
4902.929	68.193	-174.972
4974.244	68.375	-175.030
5046.596	68.485	-175.052
5120.000	68.588	-175.301
5194.472	68.640	-175.659
5270.027	68.689	-175.827
5346.682	68.670	-176.046
5424.451	68.627	-175.615
5503.352	68.660	-174.795
5583.399	68.715	-174.193
5664.612	68.788	-173.220
5747.006	68.916	-172.456
5830.598	69.040	-171.648
5915.406	69.266	-170.994
6001.447	69.522	-170.914
6088.740	69.776	-171.226
6177.303	70.023	-172.116
6267.154	70.203	-173.722
6358.312	70.293	-175.571
6450.796	70.257	-177.804
6544.625	70.091	-179.546
6639.818	69.843	179.043
6736.397	69.551	178.370
6834.380	69.230	178.346
6933.789	68.889	178.945
7034.643	68.615	-179.471
7136.964	68.400	-177.100
7240.773	68.358	-174.650
7346.093	68.454	-172.639
7452.944	68.557	-171.350
7561.350	68.648	-170.682
7671.332	68.677	-169.885
7782.915	68.644	-168.802
7896.120	68.677	-167.152
8010.971	68.865	-165.334
8127.493	69.180	-164.311
8245.711	69.482	-164.660
8365.647	69.712	-165.823
8487.328	69.790	-167.396
8610.779	69.715	-168.815
8736.026	69.553	-169.414
8863.095	69.404	-169.394
8992.011	69.304	-169.218
9122.803	69.176	-169.316
9255.497	68.996	-168.694
9390.121	68.951	-167.896
9526.704	68.864	-168.394
9665.273	68.487	-168.837
9805.857	68.021	-167.120
9948.487	67.873	-164.914
